session,ID,Name,site,effector,Type,Hz,number_box_1,Go1,Stop1,number_box_2,Go2,Stop2,number_box_3,Go3,Stop3,number_box_4,Go4,Stop4,Sorting,Tracking
t030424,91,Trial_006,M1,finger,control,,2,9000,9260,3,9815,10316,4,11555,12330,1,14000,14685,1,1
t030424,91,Trial_007,M1,finger,control,,3,3100,3340,1,4150,4272,4,7950,8470,2,9000,9201,1,1
t030424,91,Trial_008,M1,finger,control,,4,300,540,1,8700,9000,3,11000,11300,2,12230,12350,1,1
t030424,91,Trial_009,M1,finger,HFS,150,2,5000,5150,3,8600,8880,4,10219,10917,1,11400,11640,1,1
t030424,91,Trial_010,M1,finger,HFS,200,3,4000,4600,1,5660,5820,4,8450,8820,2,9500,9600,1,1
t030424,91,Trial_011,M1,finger,HFS,200,4,285,475,1,4853,4900,3,6500,6900,2,7690,7770,1,1
t030424,91,Trial_012,M1,finger,washout,,2,6250,6900,3,7800,7900,4,8600,8980,1,9550,9650,1,1
t030424,91,Trial_013,M1,finger,washout,,3,2700,2970,1,3660,3830,4,9900,10070,2,10750,10870,1,1
t030424,91,Trial_014,M1,finger,washout,,4,180,330,1,6050,6260,3,6800,6920,2,7930,8050,1,1
t040423,92,File_006,PM,finger,control,,1,200,420,4,1300,1700,3,2700,2880,2,3600,3765,1,1
t040423,92,File_007,PM,finger,control,,2,800,890,4,1610,1880,1,5340,5670,3,7600,7890,1,1
t040423,92,File_008,PM,finger,control,,3,300,740,4,1500,1700,2,2500,2600,1,3100,3300,1,1
t040423,92,File_009,PM,finger,control,,1,200,285,2,900,1000,3,2440,2720,4,3400,3650,1,1
t040423,92,File_010,PM,finger,control,,3,250,560,1,1870,2000,4,2550,2880,2,3490,3580,1,1
t040423,92,File_011,PM,finger,HFS,200,1,200,300,4,1490,1870,3,2870,3200,2,3820,3950,1,1
t040423,92,File_012,PM,finger,HFS,200,2,250,340,4,1015,1370,1,1870,2050,3,2915,3180,1,1
t040423,92,File_013,PM,finger,HFS,200,3,260,480,4,1130,1430,2,2900,3000,1,3600,3700,1,1
t040423,92,File_014,PM,finger,HFS,200,1,200,320,2,1000,1130,3,1660,1940,4,2880,3100,1,1
t040423,92,File_015,PM,finger,HFS,200,3,350,640,1,1700,1800,4,2450,2711,2,3500,3600,1,1
t040423,92,File_016,PM,finger,washout,,1,260,490,4,1100,1400,3,1930,2000,2,3800,4000,1,1
t040423,92,File_017,PM,finger,washout,,2,200,260,4,800,980,1,1550,1750,3,2700,2970,1,1
t040423,92,File_018,PM,finger,washout,,3,190,330,4,1000,1200,2,1650,1790,1,2200,2300,1,1
t040423,92,File_019,PM,finger,washout,,1,160,400,2,1060,1120,3,1600,2090,4,2800,2900,1,1
t040423,92,File_020,PM,finger,washout,,3,1100,1660,1,2800,3000,4,4250,4570,2,5200,5300,1,1
t040423,92,File_021,PM,finger,control,,1,200,590,4,1300,1550,3,2060,2260,2,2750,2810,1,1
t040423,92,File_022,PM,finger,control,,2,180,350,4,920,1050,1,1540,1700,3,2360,2480,1,1
t040423,92,File_023,PM,finger,control,,3,220,440,4,1300,1470,2,2300,3300,1,3700,3920,1,1
t040423,92,File_024,PM,finger,control,,1,200,340,2,1090,1170,3,1700,1960,4,2500,2650,1,1
t040423,92,File_025,PM,finger,control,,3,240,370,1,1500,1600,4,2200,2550,2,3400,3550,1,1
t040423,92,File_026,PM,finger,HFS,200,1,250,435,4,1100,1500,3,2100,2330,2,2900,2970,1,1
t040423,92,File_027,PM,finger,HFS,200,2,200,290,4,880,1300,1,1840,1990,3,2650,2800,1,1
t040423,92,File_028,PM,finger,HFS,200,3,230,500,4,1050,2200,2,2800,2900,1,3850,4000,1,1
t040423,92,File_029,PM,finger,HFS,200,1,200,660,2,1300,1420,3,2100,2250,4,2900,3900,1,1
t040423,92,File_030,PM,finger,HFS,200,3,200,410,1,1000,1100,4,1980,2420,2,5300,5400,1,1
t040423,92,File_031,PM,finger,washout,,1,320,420,4,960,1170,3,1670,1810,2,2250,2350,1,1
t040423,92,File_032,PM,finger,washout,,2,240,330,4,900,1130,1,1700,1800,3,2400,2600,1,1
t040423,92,File_033,PM,finger,washout,,3,270,470,4,1000,1100,2,1690,1900,1,2420,2500,1,1
t040423,92,File_034,PM,finger,washout,,1,200,500,2,1100,1350,3,2080,2300,4,2790,2900,1,1
t040423,92,File_035,PM,finger,washout,,3,220,580,1,1120,1200,4,2400,2650,2,3490,3550,1,1
